#,Domain,Address,Type
1,learning.xidian.edu.cn,learning.xidian.edu.cn.ctdns.cn,CNAME
2,learning.xidian.edu.cn,learning.xidian.edu.cn.e.ngaacdn.cn,CNAME
3,1000.xidian.edu.cn,202.117.124.63,A
4,acm.xidian.edu.cn,202.117.120.247,A
5,apis.xidian.edu.cn,202.117.121.13,A
6,antl.xidian.edu.cn,202.117.124.100,A
7,dcdb.xidian.edu.cn,202.117.115.6,A
8,cwc.xidian.edu.cn,61.150.43.92,A
9,cgz.xidian.edu.cn,202.117.124.79,A
10,cgb.xidian.edu.cn,202.117.121.131,A
11,idsnew.xidian.edu.cn,202.117.112.26,A
12,lab202.xidian.edu.cn,202.117.120.226,A
13,jieneng.xidian.edu.cn,202.117.124.7,A
14,kycg.xidian.edu.cn,202.117.124.17,A
15,kgb.xidian.edu.cn,61.150.43.93,A
16,kdx.xidian.edu.cn,202.117.124.56,A
17,ekdx.xidian.edu.cn,61.150.43.92,A
18,ehall.xidian.edu.cn,61.150.43.100,A
19,ecs.xidian.edu.cn,202.117.120.226,A
20,dbsy.xidian.edu.cn,61.150.43.93,A
21,emen.xidian.edu.cn,202.117.112.35,A
22,estlab.xidian.edu.cn,202.117.112.35,A
23,ms.xidian.edu.cn,202.117.115.108,A
24,index.xidian.edu.cn,202.117.115.65,A
25,jxdz.xidian.edu.cn,202.117.124.137,A
26,payment.xidian.edu.cn,61.150.43.87,A
27,pm.xidian.edu.cn,202.117.124.183,A
28,news.xidian.edu.cn,61.150.43.92,A
29,my.xidian.edu.cn,202.117.121.160,A
30,ltb.xidian.edu.cn,61.150.43.92,A
31,paper.xidian.edu.cn,202.117.120.150,A
32,python.xidian.edu.cn,202.117.120.230,A
33,rjgc.xidian.edu.cn,61.150.43.92,A
34,res.xidian.edu.cn,61.150.43.100,A
35,newapi.xidian.edu.cn,202.117.125.1,A
36,tyb.xidian.edu.cn,61.150.43.93,A
37,sys.xidian.edu.cn,61.150.43.93,A
38,rsp.xidian.edu.cn,202.117.120.226,A
39,rs.xidian.edu.cn,202.117.119.1,A
40,smg.stumail.xidian.edu.cn,202.117.112.39,A
41,smg.xidian.edu.cn,202.117.112.58,A
42,vpn.xidian.edu.cn,61.150.43.81,A
43,zbx.ee.xidian.edu.cn,202.117.120.242,A
44,yz.xidian.edu.cn,61.150.43.92,A
45,xxb.xidian.edu.cn,202.117.112.35,A
46,xcb.xidian.edu.cn,61.150.43.92,A
47,xdhpc.xidian.edu.cn,61.150.43.93,A
48,wzb.xidian.edu.cn,61.150.43.93,A
49,xgc.xidian.edu.cn,61.150.43.93,A
50,client.ms.xidian.edu.cn,202.117.115.108,A
51,b.xidian.edu.cn,202.117.120.245,A
52,bksy.xidian.edu.cn,61.150.43.92,A
53,cscy.xidian.edu.cn,202.117.122.11,A
54,data.xidian.edu.cn,202.117.121.215,A
55,dbcs.xidian.edu.cn,61.150.43.93,A
56,720vr.xidian.edu.cn,61.150.43.92,A
57,hyxt.xidian.edu.cn,202.117.121.236,A
58,jshd.xidian.edu.cn,202.117.115.76,A
59,image.xidian.edu.cn,61.150.43.93,A
60,meeting.xidian.edu.cn,202.117.120.226,A
61,jcjy.xidian.edu.cn,202.117.124.17,A
62,ims.xidian.edu.cn,202.117.124.176,A
63,jsfz.xidian.edu.cn,61.150.43.93,A
64,imap.mail.xidian.edu.cn,202.117.112.58,A
65,math.xidian.edu.cn,61.150.43.93,A
66,marx.xidian.edu.cn,61.150.43.92,A
